File,G652D_40_1500_2xtof_przes500v2.csv,
1520.142500,1.6270E-004,1520.142500,1.3090E-006,1520.142500,1.0830E-006,1520.142500,1.5023E002
1520.225000,1.6250E-004,1520.225000,1.3480E-006,1520.225000,1.1020E-006,1520.225000,1.4746E002
1520.307500,1.6240E-004,1520.307500,1.3800E-006,1520.307500,1.0730E-006,1520.307500,1.5135E002
1520.390000,1.6260E-004,1520.390000,1.3070E-006,1520.390000,1.1210E-006,1520.390000,1.4505E002
1520.472500,1.6240E-004,1520.472500,1.2970E-006,1520.472500,1.0850E-006,1520.472500,1.4968E002
1520.555000,1.6290E-004,1520.555000,1.2740E-006,1520.555000,1.0470E-006,1520.555000,1.5559E002
1520.637500,1.6290E-004,1520.637500,1.2980E-006,1520.637500,1.0690E-006,1520.637500,1.5239E002
1520.720000,1.6280E-004,1520.720000,1.3070E-006,1520.720000,1.1560E-006,1520.720000,1.4083E002
1520.802500,1.6360E-004,1520.802500,1.3150E-006,1520.802500,1.0690E-006,1520.802500,1.5304E002
1520.885000,1.6370E-004,1520.885000,1.2460E-006,1520.885000,1.1140E-006,1520.885000,1.4695E002
1520.967500,1.6320E-004,1520.967500,1.2370E-006,1520.967500,1.1130E-006,1520.967500,1.4663E002
1521.050000,1.6410E-004,1521.050000,1.3470E-006,1521.050000,1.1240E-006,1521.050000,1.4600E002
1521.132500,1.6380E-004,1521.132500,1.1900E-006,1521.132500,1.1470E-006,1521.132500,1.4281E002
1521.215000,1.6370E-004,1521.215000,1.2630E-006,1521.215000,1.0980E-006,1521.215000,1.4909E002
1521.297500,1.6430E-004,1521.297500,1.2070E-006,1521.297500,1.1090E-006,1521.297500,1.4815E002
1521.380000,1.6430E-004,1521.380000,1.2410E-006,1521.380000,1.1130E-006,1521.380000,1.4762E002
1521.462500,1.6400E-004,1521.462500,1.2080E-006,1521.462500,1.1300E-006,1521.462500,1.4513E002
1521.545000,1.6450E-004,1521.545000,1.2870E-006,1521.545000,1.1450E-006,1521.545000,1.4367E002
1521.627500,1.6470E-004,1521.627500,1.2100E-006,1521.627500,1.1570E-006,1521.627500,1.4235E002
1521.710000,1.6440E-004,1521.710000,1.2030E-006,1521.710000,1.1570E-006,1521.710000,1.4209E002
1521.792500,1.6510E-004,1521.792500,1.1980E-006,1521.792500,1.1630E-006,1521.792500,1.4196E002
1521.875000,1.6530E-004,1521.875000,1.1890E-006,1521.875000,1.1070E-006,1521.875000,1.4932E002
1521.957500,1.6500E-004,1521.957500,1.2090E-006,1521.957500,1.1620E-006,1521.957500,1.4200E002
1522.040000,1.6540E-004,1522.040000,1.2500E-006,1522.040000,1.1390E-006,1522.040000,1.4522E002
1522.122500,1.6580E-004,1522.122500,1.1820E-006,1522.122500,1.1270E-006,1522.122500,1.4712E002
1522.205000,1.6560E-004,1522.205000,1.1580E-006,1522.205000,1.1470E-006,1522.205000,1.4438E002
1522.287500,1.6570E-004,1522.287500,1.2150E-006,1522.287500,1.1510E-006,1522.287500,1.4396E002
1522.370000,1.6620E-004,1522.370000,1.1850E-006,1522.370000,1.1940E-006,1522.370000,1.3920E002
1522.452500,1.6590E-004,1522.452500,1.1030E-006,1522.452500,1.1600E-006,1522.452500,1.4302E002
1522.535000,1.6620E-004,1522.535000,1.1960E-006,1522.535000,1.2010E-006,1522.535000,1.3838E002
1522.617500,1.6710E-004,1522.617500,1.1280E-006,1522.617500,1.2370E-006,1522.617500,1.3508E002
1522.700000,1.6640E-004,1522.700000,1.1380E-006,1522.700000,1.1720E-006,1522.700000,1.4198E002
1522.782500,1.6630E-004,1522.782500,1.1590E-006,1522.782500,1.1390E-006,1522.782500,1.4601E002
1522.865000,1.6730E-004,1522.865000,1.1750E-006,1522.865000,1.1420E-006,1522.865000,1.4650E002
1522.947500,1.6660E-004,1522.947500,1.0900E-006,1522.947500,1.2040E-006,1522.947500,1.3837E002
1523.030000,1.6700E-004,1523.030000,1.0630E-006,1523.030000,1.2160E-006,1523.030000,1.3734E002
1523.112500,1.6780E-004,1523.112500,1.1300E-006,1523.112500,1.2270E-006,1523.112500,1.3676E002
1523.195000,1.6740E-004,1523.195000,1.1780E-006,1523.195000,1.2000E-006,1523.195000,1.3950E002
1523.277500,1.6770E-004,1523.277500,1.1020E-006,1523.277500,1.1830E-006,1523.277500,1.4176E002
1523.360000,1.6800E-004,1523.360000,1.0460E-006,1523.360000,1.2720E-006,1523.360000,1.3208E002
1523.442500,1.6780E-004,1523.442500,1.1090E-006,1523.442500,1.2350E-006,1523.442500,1.3587E002
1523.525000,1.6820E-004,1523.525000,1.0910E-006,1523.525000,1.2090E-006,1523.525000,1.3912E002
1523.607500,1.6820E-004,1523.607500,1.0980E-006,1523.607500,1.2930E-006,1523.607500,1.3009E002
1523.690000,1.6830E-004,1523.690000,1.0630E-006,1523.690000,1.2630E-006,1523.690000,1.3325E002
1523.772500,1.6830E-004,1523.772500,1.1420E-006,1523.772500,1.3320E-006,1523.772500,1.2635E002
1523.855000,1.6890E-004,1523.855000,1.1020E-006,1523.855000,1.2150E-006,1523.855000,1.3901E002
1523.937500,1.6850E-004,1523.937500,1.1030E-006,1523.937500,1.2570E-006,1523.937500,1.3405E002
1524.020000,1.6870E-004,1524.020000,1.1200E-006,1524.020000,1.2720E-006,1524.020000,1.3263E002
1524.102500,1.6870E-004,1524.102500,1.1040E-006,1524.102500,1.2590E-006,1524.102500,1.3400E002
1524.185000,1.6920E-004,1524.185000,1.1380E-006,1524.185000,1.2700E-006,1524.185000,1.3323E002
1524.267500,1.6920E-004,1524.267500,1.0730E-006,1524.267500,1.2880E-006,1524.267500,1.3137E002
1524.350000,1.6980E-004,1524.350000,9.8310E-007,1524.350000,1.3180E-006,1524.350000,1.2883E002
1524.432500,1.6980E-004,1524.432500,1.0970E-006,1524.432500,1.2940E-006,1524.432500,1.3122E002
1524.515000,1.6960E-004,1524.515000,1.0920E-006,1524.515000,1.3040E-006,1524.515000,1.3006E002
1524.597500,1.7010E-004,1524.597500,1.0500E-006,1524.597500,1.2540E-006,1524.597500,1.3565E002
1524.680000,1.6970E-004,1524.680000,1.0370E-006,1524.680000,1.3340E-006,1524.680000,1.2721E002
1524.762500,1.7000E-004,1524.762500,1.0590E-006,1524.762500,1.3090E-006,1524.762500,1.2987E002
1524.845000,1.7020E-004,1524.845000,1.0790E-006,1524.845000,1.3230E-006,1524.845000,1.2865E002
1524.927500,1.7030E-004,1524.927500,1.0580E-006,1524.927500,1.3980E-006,1524.927500,1.2182E002
1525.010000,1.7010E-004,1525.010000,1.0290E-006,1525.010000,1.3540E-006,1525.010000,1.2563E002
1525.092500,1.7050E-004,1525.092500,1.0210E-006,1525.092500,1.3370E-006,1525.092500,1.2752E002
1525.175000,1.7070E-004,1525.175000,1.0310E-006,1525.175000,1.3160E-006,1525.175000,1.2971E002
1525.257500,1.7090E-004,1525.257500,1.0400E-006,1525.257500,1.3810E-006,1525.257500,1.2375E002
1525.340000,1.7090E-004,1525.340000,1.0030E-006,1525.340000,1.3300E-006,1525.340000,1.2850E002
1525.422500,1.7160E-004,1525.422500,1.0200E-006,1525.422500,1.3940E-006,1525.422500,1.2310E002
1525.505000,1.7090E-004,1525.505000,1.0260E-006,1525.505000,1.3750E-006,1525.505000,1.2429E002
1525.587500,1.7120E-004,1525.587500,9.9980E-007,1525.587500,1.4180E-006,1525.587500,1.2073E002
1525.670000,1.7150E-004,1525.670000,1.0400E-006,1525.670000,1.4510E-006,1525.670000,1.1819E002
1525.752500,1.7160E-004,1525.752500,1.0400E-006,1525.752500,1.3360E-006,1525.752500,1.2844E002
1525.835000,1.7180E-004,1525.835000,1.1090E-006,1525.835000,1.3970E-006,1525.835000,1.2298E002
1525.917500,1.7230E-004,1525.917500,1.0540E-006,1525.917500,1.4000E-006,1525.917500,1.2307E002
1526.000000,1.7190E-004,1526.000000,1.0270E-006,1526.000000,1.3550E-006,1526.000000,1.2686E002
1526.082500,1.7180E-004,1526.082500,1.0430E-006,1526.082500,1.4400E-006,1526.082500,1.1931E002
1526.165000,1.7280E-004,1526.165000,1.0420E-006,1526.165000,1.4310E-006,1526.165000,1.2075E002
1526.247500,1.7210E-004,1526.247500,1.0420E-006,1526.247500,1.4000E-006,1526.247500,1.2293E002
1526.330000,1.7250E-004,1526.330000,1.0490E-006,1526.330000,1.4180E-006,1526.330000,1.2165E002
1526.412500,1.7310E-004,1526.412500,1.0830E-006,1526.412500,1.4710E-006,1526.412500,1.1768E002
1526.495000,1.7300E-004,1526.495000,1.0870E-006,1526.495000,1.4170E-006,1526.495000,1.2209E002
1526.577500,1.7290E-004,1526.577500,1.0180E-006,1526.577500,1.4120E-006,1526.577500,1.2245E002
1526.660000,1.7350E-004,1526.660000,1.0670E-006,1526.660000,1.4240E-006,1526.660000,1.2184E002
1526.742500,1.7340E-004,1526.742500,1.0520E-006,1526.742500,1.4540E-006,1526.742500,1.1926E002
1526.825000,1.7320E-004,1526.825000,1.0710E-006,1526.825000,1.5030E-006,1526.825000,1.1524E002
1526.907500,1.7410E-004,1526.907500,1.0330E-006,1526.907500,1.4330E-006,1526.907500,1.2149E002
1526.990000,1.7350E-004,1526.990000,1.0560E-006,1526.990000,1.4830E-006,1526.990000,1.1699E002
1527.072500,1.7340E-004,1527.072500,1.0720E-006,1527.072500,1.4580E-006,1527.072500,1.1893E002
1527.155000,1.7400E-004,1527.155000,1.1070E-006,1527.155000,1.4720E-006,1527.155000,1.1821E002
1527.237500,1.7430E-004,1527.237500,1.1180E-006,1527.237500,1.4650E-006,1527.237500,1.1898E002
1527.320000,1.7370E-004,1527.320000,1.0700E-006,1527.320000,1.4900E-006,1527.320000,1.1658E002
1527.402500,1.7450E-004,1527.402500,1.0580E-006,1527.402500,1.5320E-006,1527.402500,1.1390E002
1527.485000,1.7470E-004,1527.485000,1.0700E-006,1527.485000,1.5330E-006,1527.485000,1.1396E002
1527.567500,1.7450E-004,1527.567500,1.0640E-006,1527.567500,1.5070E-006,1527.567500,1.1579E002
1527.650000,1.7530E-004,1527.650000,1.0600E-006,1527.650000,1.5440E-006,1527.650000,1.1354E002
1527.732500,1.7530E-004,1527.732500,1.0990E-006,1527.732500,1.5370E-006,1527.732500,1.1405E002
1527.815000,1.7480E-004,1527.815000,1.0690E-006,1527.815000,1.4520E-006,1527.815000,1.2039E002
1527.897500,1.7510E-004,1527.897500,1.1610E-006,1527.897500,1.6150E-006,1527.897500,1.0842E002
1527.980000,1.7580E-004,1527.980000,1.0410E-006,1527.980000,1.5330E-006,1527.980000,1.1468E002
1528.062500,1.7530E-004,1528.062500,1.1430E-006,1528.062500,1.5170E-006,1528.062500,1.1556E002
1528.145000,1.7580E-004,1528.145000,1.0490E-006,1528.145000,1.6140E-006,1528.145000,1.0892E002
1528.227500,1.7640E-004,1528.227500,1.1210E-006,1528.227500,1.6350E-006,1528.227500,1.0789E002
1528.310000,1.7560E-004,1528.310000,1.1260E-006,1528.310000,1.5940E-006,1528.310000,1.1016E002
1528.392500,1.7600E-004,1528.392500,1.0200E-006,1528.392500,1.6060E-006,1528.392500,1.0959E002
1528.475000,1.7690E-004,1528.475000,1.1980E-006,1528.475000,1.6080E-006,1528.475000,1.1001E002
1528.557500,1.7650E-004,1528.557500,1.1310E-006,1528.557500,1.5890E-006,1528.557500,1.1108E002
1528.640000,1.7660E-004,1528.640000,1.0900E-006,1528.640000,1.6000E-006,1528.640000,1.1038E002
1528.722500,1.7670E-004,1528.722500,1.0980E-006,1528.722500,1.6270E-006,1528.722500,1.0860E002
1528.805000,1.7690E-004,1528.805000,1.1380E-006,1528.805000,1.6420E-006,1528.805000,1.0773E002
1528.887500,1.7670E-004,1528.887500,1.1570E-006,1528.887500,1.6240E-006,1528.887500,1.0881E002
1528.970000,1.7750E-004,1528.970000,1.1250E-006,1528.970000,1.6640E-006,1528.970000,1.0667E002
1529.052500,1.7700E-004,1529.052500,1.1150E-006,1529.052500,1.6730E-006,1529.052500,1.0580E002
1529.135000,1.7770E-004,1529.135000,1.2370E-006,1529.135000,1.6580E-006,1529.135000,1.0718E002
1529.217500,1.7780E-004,1529.217500,1.1080E-006,1529.217500,1.7440E-006,1529.217500,1.0195E002
1529.300000,1.7840E-004,1529.300000,1.2030E-006,1529.300000,1.7120E-006,1529.300000,1.0421E002
1529.382500,1.7790E-004,1529.382500,1.1270E-006,1529.382500,1.6900E-006,1529.382500,1.0527E002
1529.465000,1.7850E-004,1529.465000,1.1210E-006,1529.465000,1.7060E-006,1529.465000,1.0463E002
1529.547500,1.7850E-004,1529.547500,1.1640E-006,1529.547500,1.7110E-006,1529.547500,1.0432E002
1529.630000,1.7800E-004,1529.630000,1.0960E-006,1529.630000,1.6940E-006,1529.630000,1.0508E002
1529.712500,1.7930E-004,1529.712500,1.2270E-006,1529.712500,1.7360E-006,1529.712500,1.0328E002
1529.795000,1.7920E-004,1529.795000,1.1820E-006,1529.795000,1.7660E-006,1529.795000,1.0147E002
1529.877500,1.7880E-004,1529.877500,1.2150E-006,1529.877500,1.7300E-006,1529.877500,1.0335E002
1529.960000,1.7930E-004,1529.960000,1.2700E-006,1529.960000,1.7800E-006,1529.960000,1.0073E002
1530.042500,1.7950E-004,1530.042500,1.2390E-006,1530.042500,1.7590E-006,1530.042500,1.0205E002
1530.125000,1.7950E-004,1530.125000,1.2540E-006,1530.125000,1.7690E-006,1530.125000,1.0147E002
1530.207500,1.8010E-004,1530.207500,1.2420E-006,1530.207500,1.7570E-006,1530.207500,1.0250E002
1530.290000,1.8060E-004,1530.290000,1.2450E-006,1530.290000,1.7970E-006,1530.290000,1.0050E002
1530.372500,1.7980E-004,1530.372500,1.2380E-006,1530.372500,1.7820E-006,1530.372500,1.0090E002
1530.455000,1.8040E-004,1530.455000,1.2430E-006,1530.455000,1.7290E-006,1530.455000,1.0434E002
1530.537500,1.8070E-004,1530.537500,1.3500E-006,1530.537500,1.8360E-006,1530.537500,9.8420E001
1530.620000,1.8030E-004,1530.620000,1.3260E-006,1530.620000,1.8290E-006,1530.620000,9.8578E001
1530.702500,1.8080E-004,1530.702500,1.2710E-006,1530.702500,1.8180E-006,1530.702500,9.9450E001
1530.785000,1.8130E-004,1530.785000,1.2970E-006,1530.785000,1.8690E-006,1530.785000,9.7004E001
1530.867500,1.8110E-004,1530.867500,1.2990E-006,1530.867500,1.8850E-006,1530.867500,9.6074E001
1530.950000,1.8180E-004,1530.950000,1.3300E-006,1530.950000,1.9260E-006,1530.950000,9.4393E001
1531.032500,1.8220E-004,1531.032500,1.3430E-006,1531.032500,1.8550E-006,1531.032500,9.8221E001
1531.115000,1.8140E-004,1531.115000,1.3120E-006,1531.115000,1.9070E-006,1531.115000,9.5123E001
1531.197500,1.8190E-004,1531.197500,1.3930E-006,1531.197500,1.9440E-006,1531.197500,9.3570E001
1531.280000,1.8250E-004,1531.280000,1.3820E-006,1531.280000,1.8820E-006,1531.280000,9.6971E001
1531.362500,1.8240E-004,1531.362500,1.3300E-006,1531.362500,1.9430E-006,1531.362500,9.3875E001
1531.445000,1.8220E-004,1531.445000,1.3050E-006,1531.445000,1.9390E-006,1531.445000,9.3966E001
1531.527500,1.8290E-004,1531.527500,1.3600E-006,1531.527500,1.9930E-006,1531.527500,9.1771E001
1531.610000,1.8280E-004,1531.610000,1.3050E-006,1531.610000,1.9660E-006,1531.610000,9.2981E001
1531.692500,1.8250E-004,1531.692500,1.4150E-006,1531.692500,1.9980E-006,1531.692500,9.1341E001
1531.775000,1.8330E-004,1531.775000,1.4050E-006,1531.775000,1.9670E-006,1531.775000,9.3188E001
1531.857500,1.8370E-004,1531.857500,1.3930E-006,1531.857500,2.0050E-006,1531.857500,9.1621E001
1531.940000,1.8320E-004,1531.940000,1.3910E-006,1531.940000,2.0210E-006,1531.940000,9.0648E001
1532.022500,1.8390E-004,1532.022500,1.4980E-006,1532.022500,2.0540E-006,1532.022500,8.9533E001
1532.105000,1.8450E-004,1532.105000,1.4380E-006,1532.105000,1.9900E-006,1532.105000,9.2714E001
1532.187500,1.8430E-004,1532.187500,1.4210E-006,1532.187500,2.0530E-006,1532.187500,8.9771E001
1532.270000,1.8440E-004,1532.270000,1.4430E-006,1532.270000,2.0850E-006,1532.270000,8.8441E001
1532.352500,1.8520E-004,1532.352500,1.4910E-006,1532.352500,2.0720E-006,1532.352500,8.9382E001
1532.435000,1.8480E-004,1532.435000,1.4900E-006,1532.435000,2.0270E-006,1532.435000,9.1169E001
1532.517500,1.8470E-004,1532.517500,1.5200E-006,1532.517500,2.0720E-006,1532.517500,8.9141E001
1532.600000,1.8530E-004,1532.600000,1.5720E-006,1532.600000,1.9990E-006,1532.600000,9.2696E001
1532.682500,1.8520E-004,1532.682500,1.5370E-006,1532.682500,2.1060E-006,1532.682500,8.7939E001
1532.765000,1.8530E-004,1532.765000,1.5830E-006,1532.765000,2.0890E-006,1532.765000,8.8703E001
1532.847500,1.8580E-004,1532.847500,1.5280E-006,1532.847500,2.0180E-006,1532.847500,9.2071E001
1532.930000,1.8540E-004,1532.930000,1.5370E-006,1532.930000,2.1420E-006,1532.930000,8.6555E001
1533.012500,1.8560E-004,1533.012500,1.5670E-006,1533.012500,2.1370E-006,1533.012500,8.6851E001
1533.095000,1.8660E-004,1533.095000,1.6430E-006,1533.095000,2.1510E-006,1533.095000,8.6750E001
1533.177500,1.8600E-004,1533.177500,1.6750E-006,1533.177500,2.1210E-006,1533.177500,8.7694E001
1533.260000,1.8630E-004,1533.260000,1.5730E-006,1533.260000,2.1390E-006,1533.260000,8.7097E001
1533.342500,1.8720E-004,1533.342500,1.6680E-006,1533.342500,2.1190E-006,1533.342500,8.8344E001
1533.425000,1.8660E-004,1533.425000,1.6330E-006,1533.425000,2.2150E-006,1533.425000,8.4244E001
1533.507500,1.8660E-004,1533.507500,1.6860E-006,1533.507500,2.2900E-006,1533.507500,8.1485E001
1533.590000,1.8720E-004,1533.590000,1.6760E-006,1533.590000,2.2150E-006,1533.590000,8.4515E001
1533.672500,1.8720E-004,1533.672500,1.7040E-006,1533.672500,2.2490E-006,1533.672500,8.3237E001
1533.755000,1.8710E-004,1533.755000,1.7060E-006,1533.755000,2.2700E-006,1533.755000,8.2423E001
1533.837500,1.8800E-004,1533.837500,1.7330E-006,1533.837500,2.2890E-006,1533.837500,8.2132E001
1533.920000,1.8810E-004,1533.920000,1.6980E-006,1533.920000,2.3430E-006,1533.920000,8.0282E001
1534.002500,1.8730E-004,1534.002500,1.7200E-006,1534.002500,2.2460E-006,1534.002500,8.3393E001
1534.085000,1.8840E-004,1534.085000,1.7650E-006,1534.085000,2.2870E-006,1534.085000,8.2379E001
1534.167500,1.8870E-004,1534.167500,1.7400E-006,1534.167500,2.3400E-006,1534.167500,8.0641E001
1534.250000,1.8780E-004,1534.250000,1.7860E-006,1534.250000,2.3080E-006,1534.250000,8.1369E001
1534.332500,1.8870E-004,1534.332500,1.7730E-006,1534.332500,2.3200E-006,1534.332500,8.1336E001
1534.415000,1.8900E-004,1534.415000,1.8250E-006,1534.415000,2.3600E-006,1534.415000,8.0085E001
1534.497500,1.8870E-004,1534.497500,1.7970E-006,1534.497500,2.4370E-006,1534.497500,7.7431E001
1534.580000,1.8900E-004,1534.580000,1.7940E-006,1534.580000,2.3780E-006,1534.580000,7.9479E001
1534.662500,1.8940E-004,1534.662500,1.8130E-006,1534.662500,2.4140E-006,1534.662500,7.8459E001
1534.745000,1.8930E-004,1534.745000,1.8920E-006,1534.745000,2.3530E-006,1534.745000,8.0450E001
1534.827500,1.8910E-004,1534.827500,1.8620E-006,1534.827500,2.4940E-006,1534.827500,7.5822E001
1534.910000,1.8950E-004,1534.910000,1.8780E-006,1534.910000,2.4430E-006,1534.910000,7.7569E001
1534.992500,1.8940E-004,1534.992500,1.9060E-006,1534.992500,2.3800E-006,1534.992500,7.9580E001
1535.075000,1.8940E-004,1535.075000,1.8470E-006,1535.075000,2.4690E-006,1535.075000,7.6711E001
1535.157500,1.8980E-004,1535.157500,1.9080E-006,1535.157500,2.5030E-006,1535.157500,7.5829E001
1535.240000,1.8950E-004,1535.240000,1.9530E-006,1535.240000,2.4560E-006,1535.240000,7.7158E001
1535.322500,1.8930E-004,1535.322500,1.9510E-006,1535.322500,2.5020E-006,1535.322500,7.5659E001
1535.405000,1.9040E-004,1535.405000,1.9770E-006,1535.405000,2.5380E-006,1535.405000,7.5020E001
1535.487500,1.8980E-004,1535.487500,2.0420E-006,1535.487500,2.5260E-006,1535.487500,7.5139E001
1535.570000,1.8990E-004,1535.570000,2.0020E-006,1535.570000,2.5410E-006,1535.570000,7.4734E001
1535.652500,1.9080E-004,1535.652500,2.0040E-006,1535.652500,2.5000E-006,1535.652500,7.6320E001
1535.735000,1.9030E-004,1535.735000,2.0620E-006,1535.735000,2.5850E-006,1535.735000,7.3617E001
1535.817500,1.9020E-004,1535.817500,2.0030E-006,1535.817500,2.5810E-006,1535.817500,7.3692E001
1535.900000,1.9070E-004,1535.900000,2.0430E-006,1535.900000,2.5580E-006,1535.900000,7.4550E001
1535.982500,1.9080E-004,1535.982500,2.0000E-006,1535.982500,2.5480E-006,1535.982500,7.4882E001
1536.065000,1.9030E-004,1536.065000,2.1130E-006,1536.065000,2.5610E-006,1536.065000,7.4307E001
1536.147500,1.9120E-004,1536.147500,2.0670E-006,1536.147500,2.5650E-006,1536.147500,7.4542E001
1536.230000,1.9110E-004,1536.230000,2.1220E-006,1536.230000,2.6650E-006,1536.230000,7.1707E001
1536.312500,1.9070E-004,1536.312500,2.1360E-006,1536.312500,2.6500E-006,1536.312500,7.1962E001
1536.395000,1.9130E-004,1536.395000,2.0850E-006,1536.395000,2.6540E-006,1536.395000,7.2080E001
1536.477500,1.9120E-004,1536.477500,2.1600E-006,1536.477500,2.6210E-006,1536.477500,7.2949E001
1536.560000,1.9110E-004,1536.560000,2.1990E-006,1536.560000,2.6950E-006,1536.560000,7.0909E001
1536.642500,1.9120E-004,1536.642500,2.1710E-006,1536.642500,2.6520E-006,1536.642500,7.2097E001
1536.725000,1.9160E-004,1536.725000,2.1360E-006,1536.725000,2.6910E-006,1536.725000,7.1200E001
1536.807500,1.9150E-004,1536.807500,2.1910E-006,1536.807500,2.7580E-006,1536.807500,6.9434E001
1536.890000,1.9170E-004,1536.890000,2.1770E-006,1536.890000,2.7420E-006,1536.890000,6.9912E001
1536.972500,1.9190E-004,1536.972500,2.2460E-006,1536.972500,2.7640E-006,1536.972500,6.9428E001
1537.055000,1.9150E-004,1537.055000,2.2300E-006,1537.055000,2.7170E-006,1537.055000,7.0482E001
1537.137500,1.9190E-004,1537.137500,2.2110E-006,1537.137500,2.8350E-006,1537.137500,6.7690E001
1537.220000,1.9260E-004,1537.220000,2.2360E-006,1537.220000,2.7820E-006,1537.220000,6.9231E001
1537.302500,1.9200E-004,1537.302500,2.2400E-006,1537.302500,2.8270E-006,1537.302500,6.7917E001
1537.385000,1.9220E-004,1537.385000,2.1890E-006,1537.385000,2.8620E-006,1537.385000,6.7156E001
1537.467500,1.9300E-004,1537.467500,2.3260E-006,1537.467500,2.8780E-006,1537.467500,6.7060E001
1537.550000,1.9270E-004,1537.550000,2.3700E-006,1537.550000,2.8780E-006,1537.550000,6.6956E001
1537.632500,1.9280E-004,1537.632500,2.3300E-006,1537.632500,2.9230E-006,1537.632500,6.5960E001
1537.715000,1.9390E-004,1537.715000,2.3620E-006,1537.715000,2.9480E-006,1537.715000,6.5773E001
1537.797500,1.9290E-004,1537.797500,2.3110E-006,1537.797500,2.9580E-006,1537.797500,6.5213E001
1537.880000,1.9340E-004,1537.880000,2.2970E-006,1537.880000,2.9940E-006,1537.880000,6.4596E001
1537.962500,1.9390E-004,1537.962500,2.3770E-006,1537.962500,2.9760E-006,1537.962500,6.5155E001
1538.045000,1.9390E-004,1538.045000,2.4070E-006,1538.045000,2.9900E-006,1538.045000,6.4849E001
1538.127500,1.9360E-004,1538.127500,2.4460E-006,1538.127500,2.9990E-006,1538.127500,6.4555E001
1538.210000,1.9420E-004,1538.210000,2.4190E-006,1538.210000,3.0680E-006,1538.210000,6.3299E001
